id,title,company,location,skills,description,posted_date,salary_min,salary_max
1,Backend Developer,Company 45,"Toronto, Canada","Python, Node.js, SQL, REST API, Docker, PostgreSQL","We are looking for a Backend Developer with experience in Python, Node.js, SQL. Strong background in software development required.",2025-09-03,81000,183000
2,ML Engineer,Company 42,"Amsterdam, Netherlands","Python, Machine Learning, TensorFlow, PyTorch, SQL, AWS","We are looking for a ML Engineer with experience in Python, Machine Learning, TensorFlow. Strong background in software development required.",2025-09-09,104000,183000
3,Backend Developer,Company 15,"New York, NY","Python, Node.js, SQL, REST API, Docker, PostgreSQL","We are looking for a Backend Developer with experience in Python, Node.js, SQL. Strong background in software development required.",2025-08-16,150000,167000
4,Backend Developer,Company 39,"Sydney, Australia","Python, Node.js, SQL, REST API, Docker, PostgreSQL","We are looking for a Backend Developer with experience in Python, Node.js, SQL. Strong background in software development required.",2025-07-27,94000,192000
5,DevOps Engineer,Company 13,"Tokyo, Japan","Docker, Kubernetes, AWS, CI/CD, Linux, Terraform","We are looking for a DevOps Engineer with experience in Docker, Kubernetes, AWS. Strong background in software development required.",2025-12-19,85000,214000
6,Frontend Developer,Company 6,"Boston, MA","JavaScript, React, HTML, CSS, TypeScript, Git","We are looking for a Frontend Developer with experience in JavaScript, React, HTML. Strong background in software development required.",2026-01-02,92000,247000
7,Backend Developer,Company 19,Remote (Europe),"Python, Node.js, SQL, REST API, Docker, PostgreSQL","We are looking for a Backend Developer with experience in Python, Node.js, SQL. Strong background in software development required.",2025-09-13,114000,217000
8,Software Engineer,Company 8,"Vancouver, Canada","Python, JavaScript, React, SQL, Git, AWS","We are looking for a Software Engineer with experience in Python, JavaScript, React. Strong background in software development required.",2026-01-09,119000,199000
9,ML Engineer,Company 40,"Paris, France","Python, Machine Learning, TensorFlow, PyTorch, SQL, AWS","We are looking for a ML Engineer with experience in Python, Machine Learning, TensorFlow. Strong background in software development required.",2025-09-16,110000,218000
10,DevOps Engineer,Company 2,"Mumbai, India","Docker, Kubernetes, AWS, CI/CD, Linux, Terraform","We are looking for a DevOps Engineer with experience in Docker, Kubernetes, AWS. Strong background in software development required.",2025-11-12,107000,247000
11,ML Engineer,Company 11,"Hyderabad, India","Python, Machine Learning, TensorFlow, PyTorch, SQL, AWS","We are looking for a ML Engineer with experience in Python, Machine Learning, TensorFlow. Strong background in software development required.",2025-08-16,88000,221000
12,Software Engineer,Company 38,"Tel Aviv, Israel","Python, JavaScript, React, SQL, Git, AWS","We are looking for a Software Engineer with experience in Python, JavaScript, React. Strong background in software development required.",2025-11-03,109000,204000
13,Data Scientist,Company 32,"London, UK","Python, Machine Learning, SQL, Pandas, Scikit-learn, TensorFlow","We are looking for a Data Scientist with experience in Python, Machine Learning, SQL. Strong background in software development required.",2025-11-01,146000,164000
14,Data Scientist,Company 34,"Mumbai, India","Python, Machine Learning, SQL, Pandas, Scikit-learn, TensorFlow","We are looking for a Data Scientist with experience in Python, Machine Learning, SQL. Strong background in software development required.",2025-07-29,113000,184000
15,Software Engineer,Company 48,Remote (US),"Python, JavaScript, React, SQL, Git, AWS","We are looking for a Software Engineer with experience in Python, JavaScript, React. Strong background in software development required.",2025-09-18,141000,151000
16,Software Engineer,Company 37,"Tel Aviv, Israel","Python, JavaScript, React, SQL, Git, AWS","We are looking for a Software Engineer with experience in Python, JavaScript, React. Strong background in software development required.",2025-11-26,98000,158000
17,Data Scientist,Company 1,"Vancouver, Canada","Python, Machine Learning, SQL, Pandas, Scikit-learn, TensorFlow","We are looking for a Data Scientist with experience in Python, Machine Learning, SQL. Strong background in software development required.",2025-11-04,81000,213000
18,Data Scientist,Company 7,"Amsterdam, Netherlands","Python, Machine Learning, SQL, Pandas, Scikit-learn, TensorFlow","We are looking for a Data Scientist with experience in Python, Machine Learning, SQL. Strong background in software development required.",2025-07-25,112000,194000
19,Frontend Developer,Company 13,"Dubai, UAE","JavaScript, React, HTML, CSS, TypeScript, Git","We are looking for a Frontend Developer with experience in JavaScript, React, HTML. Strong background in software development required.",2025-12-20,85000,214000
20,Backend Developer,Company 46,"Toronto, Canada","Python, Node.js, SQL, REST API, Docker, PostgreSQL","We are looking for a Backend Developer with experience in Python, Node.js, SQL. Strong background in software development required.",2025-07-30,135000,155000
21,Backend Developer,Company 7,"London, UK","Python, Node.js, SQL, REST API, Docker, PostgreSQL","We are looking for a Backend Developer with experience in Python, Node.js, SQL. Strong background in software development required.",2025-10-30,140000,210000
22,Software Engineer,Company 34,"San Francisco, CA","Python, JavaScript, React, SQL, Git, AWS","We are looking for a Software Engineer with experience in Python, JavaScript, React. Strong background in software development required.",2025-11-22,83000,196000
23,Software Engineer,Company 49,"New York, NY","Python, JavaScript, React, SQL, Git, AWS","We are looking for a Software Engineer with experience in Python, JavaScript, React. Strong background in software development required.",2025-08-28,147000,152000
24,Data Scientist,Company 23,"Chicago, IL","Python, Machine Learning, SQL, Pandas, Scikit-learn, TensorFlow","We are looking for a Data Scientist with experience in Python, Machine Learning, SQL. Strong background in software development required.",2025-12-24,98000,180000
25,ML Engineer,Company 6,"London, UK","Python, Machine Learning, TensorFlow, PyTorch, SQL, AWS","We are looking for a ML Engineer with experience in Python, Machine Learning, TensorFlow. Strong background in software development required.",2025-12-10,131000,164000
26,Software Engineer,Company 6,"Mumbai, India","Python, JavaScript, React, SQL, Git, AWS","We are looking for a Software Engineer with experience in Python, JavaScript, React. Strong background in software development required.",2025-11-11,140000,248000
27,Frontend Developer,Company 20,"Austin, TX","JavaScript, React, HTML, CSS, TypeScript, Git","We are looking for a Frontend Developer with experience in JavaScript, React, HTML. Strong background in software development required.",2025-07-31,126000,212000
28,ML Engineer,Company 38,"Tel Aviv, Israel","Python, Machine Learning, TensorFlow, PyTorch, SQL, AWS","We are looking for a ML Engineer with experience in Python, Machine Learning, TensorFlow. Strong background in software development required.",2025-12-25,107000,169000
29,DevOps Engineer,Company 38,"Tel Aviv, Israel","Docker, Kubernetes, AWS, CI/CD, Linux, Terraform","We are looking for a DevOps Engineer with experience in Docker, Kubernetes, AWS. Strong background in software development required.",2025-12-20,130000,193000
30,ML Engineer,Company 18,"Stockholm, Sweden","Python, Machine Learning, TensorFlow, PyTorch, SQL, AWS","We are looking for a ML Engineer with experience in Python, Machine Learning, TensorFlow. Strong background in software development required.",2025-08-18,91000,230000
31,DevOps Engineer,Company 45,"Dublin, Ireland","Docker, Kubernetes, AWS, CI/CD, Linux, Terraform","We are looking for a DevOps Engineer with experience in Docker, Kubernetes, AWS. Strong background in software development required.",2025-08-12,80000,240000
32,Data Scientist,Company 15,"Bangalore, India","Python, Machine Learning, SQL, Pandas, Scikit-learn, TensorFlow","We are looking for a Data Scientist with experience in Python, Machine Learning, SQL. Strong background in software development required.",2025-08-31,86000,188000
33,Software Engineer,Company 14,Remote (APAC),"Python, JavaScript, React, SQL, Git, AWS","We are looking for a Software Engineer with experience in Python, JavaScript, React. Strong background in software development required.",2025-12-07,131000,187000
34,Software Engineer,Company 1,Remote (APAC),"Python, JavaScript, React, SQL, Git, AWS","We are looking for a Software Engineer with experience in Python, JavaScript, React. Strong background in software development required.",2025-09-14,143000,222000
35,Frontend Developer,Company 45,"Delhi, India","JavaScript, React, HTML, CSS, TypeScript, Git","We are looking for a Frontend Developer with experience in JavaScript, React, HTML. Strong background in software development required.",2026-01-14,103000,189000
36,Data Scientist,Company 1,"Chicago, IL","Python, Machine Learning, SQL, Pandas, Scikit-learn, TensorFlow","We are looking for a Data Scientist with experience in Python, Machine Learning, SQL. Strong background in software development required.",2025-11-21,115000,166000
37,DevOps Engineer,Company 22,"Dubai, UAE","Docker, Kubernetes, AWS, CI/CD, Linux, Terraform","We are looking for a DevOps Engineer with experience in Docker, Kubernetes, AWS. Strong background in software development required.",2025-08-24,96000,169000
38,Frontend Developer,Company 25,"Seattle, WA","JavaScript, React, HTML, CSS, TypeScript, Git","We are looking for a Frontend Developer with experience in JavaScript, React, HTML. Strong background in software development required.",2025-11-15,122000,218000
39,Software Engineer,Company 39,"Austin, TX","Python, JavaScript, React, SQL, Git, AWS","We are looking for a Software Engineer with experience in Python, JavaScript, React. Strong background in software development required.",2025-09-19,81000,226000
40,Frontend Developer,Company 5,"Seattle, WA","JavaScript, React, HTML, CSS, TypeScript, Git","We are looking for a Frontend Developer with experience in JavaScript, React, HTML. Strong background in software development required.",2025-08-23,124000,229000
41,DevOps Engineer,Company 39,"Sydney, Australia","Docker, Kubernetes, AWS, CI/CD, Linux, Terraform","We are looking for a DevOps Engineer with experience in Docker, Kubernetes, AWS. Strong background in software development required.",2025-09-06,143000,152000
42,Frontend Developer,Company 43,"Delhi, India","JavaScript, React, HTML, CSS, TypeScript, Git","We are looking for a Frontend Developer with experience in JavaScript, React, HTML. Strong background in software development required.",2025-12-25,107000,242000
43,Frontend Developer,Company 9,"Delhi, India","JavaScript, React, HTML, CSS, TypeScript, Git","We are looking for a Frontend Developer with experience in JavaScript, React, HTML. Strong background in software development required.",2025-11-14,93000,153000
44,ML Engineer,Company 13,Remote (US),"Python, Machine Learning, TensorFlow, PyTorch, SQL, AWS","We are looking for a ML Engineer with experience in Python, Machine Learning, TensorFlow. Strong background in software development required.",2025-12-29,148000,192000
45,Software Engineer,Company 9,"San Francisco, CA","Python, JavaScript, React, SQL, Git, AWS","We are looking for a Software Engineer with experience in Python, JavaScript, React. Strong background in software development required.",2025-10-24,85000,191000
46,Backend Developer,Company 26,"Boston, MA","Python, Node.js, SQL, REST API, Docker, PostgreSQL","We are looking for a Backend Developer with experience in Python, Node.js, SQL. Strong background in software development required.",2025-11-18,108000,208000
47,DevOps Engineer,Company 13,"Tokyo, Japan","Docker, Kubernetes, AWS, CI/CD, Linux, Terraform","We are looking for a DevOps Engineer with experience in Docker, Kubernetes, AWS. Strong background in software development required.",2025-08-27,124000,183000
48,Software Engineer,Company 17,Remote (Europe),"Python, JavaScript, React, SQL, Git, AWS","We are looking for a Software Engineer with experience in Python, JavaScript, React. Strong background in software development required.",2025-12-20,119000,249000
49,Software Engineer,Company 41,"Bangalore, India","Python, JavaScript, React, SQL, Git, AWS","We are looking for a Software Engineer with experience in Python, JavaScript, React. Strong background in software development required.",2026-01-15,143000,230000
50,ML Engineer,Company 32,"Seattle, WA","Python, Machine Learning, TensorFlow, PyTorch, SQL, AWS","We are looking for a ML Engineer with experience in Python, Machine Learning, TensorFlow. Strong background in software development required.",2025-09-02,89000,184000
51,Frontend Developer,Company 19,"Paris, France","JavaScript, React, HTML, CSS, TypeScript, Git","We are looking for a Frontend Developer with experience in JavaScript, React, HTML. Strong background in software development required.",2025-08-10,107000,166000
52,DevOps Engineer,Company 15,Remote (US),"Docker, Kubernetes, AWS, CI/CD, Linux, Terraform","We are looking for a DevOps Engineer with experience in Docker, Kubernetes, AWS. Strong background in software development required.",2025-08-08,137000,155000
53,DevOps Engineer,Company 43,"Amsterdam, Netherlands","Docker, Kubernetes, AWS, CI/CD, Linux, Terraform","We are looking for a DevOps Engineer with experience in Docker, Kubernetes, AWS. Strong background in software development required.",2025-11-22,82000,213000
54,DevOps Engineer,Company 42,Singapore,"Docker, Kubernetes, AWS, CI/CD, Linux, Terraform","We are looking for a DevOps Engineer with experience in Docker, Kubernetes, AWS. Strong background in software development required.",2025-08-24,144000,201000
55,Data Scientist,Company 9,"Paris, France","Python, Machine Learning, SQL, Pandas, Scikit-learn, TensorFlow","We are looking for a Data Scientist with experience in Python, Machine Learning, SQL. Strong background in software development required.",2025-10-01,142000,176000
56,DevOps Engineer,Company 35,"Mumbai, India","Docker, Kubernetes, AWS, CI/CD, Linux, Terraform","We are looking for a DevOps Engineer with experience in Docker, Kubernetes, AWS. Strong background in software development required.",2025-12-07,105000,210000
57,Frontend Developer,Company 43,"Seattle, WA","JavaScript, React, HTML, CSS, TypeScript, Git","We are looking for a Frontend Developer with experience in JavaScript, React, HTML. Strong background in software development required.",2025-08-20,125000,168000
58,Data Scientist,Company 37,"Berlin, Germany","Python, Machine Learning, SQL, Pandas, Scikit-learn, TensorFlow","We are looking for a Data Scientist with experience in Python, Machine Learning, SQL. Strong background in software development required.",2025-08-25,106000,225000
59,Software Engineer,Company 46,"Chicago, IL","Python, JavaScript, React, SQL, Git, AWS","We are looking for a Software Engineer with experience in Python, JavaScript, React. Strong background in software development required.",2025-10-30,138000,250000
60,Data Scientist,Company 19,"San Francisco, CA","Python, Machine Learning, SQL, Pandas, Scikit-learn, TensorFlow","We are looking for a Data Scientist with experience in Python, Machine Learning, SQL. Strong background in software development required.",2025-08-13,81000,202000
61,Data Scientist,Company 27,"London, UK","Python, Machine Learning, SQL, Pandas, Scikit-learn, TensorFlow","We are looking for a Data Scientist with experience in Python, Machine Learning, SQL. Strong background in software development required.",2025-12-16,130000,176000
62,Software Engineer,Company 38,"Paris, France","Python, JavaScript, React, SQL, Git, AWS","We are looking for a Software Engineer with experience in Python, JavaScript, React. Strong background in software development required.",2025-09-12,83000,230000
63,Software Engineer,Company 42,"New York, NY","Python, JavaScript, React, SQL, Git, AWS","We are looking for a Software Engineer with experience in Python, JavaScript, React. Strong background in software development required.",2025-08-27,119000,240000
64,DevOps Engineer,Company 27,Remote (APAC),"Docker, Kubernetes, AWS, CI/CD, Linux, Terraform","We are looking for a DevOps Engineer with experience in Docker, Kubernetes, AWS. Strong background in software development required.",2025-10-01,84000,239000
65,Data Scientist,Company 34,"Tel Aviv, Israel","Python, Machine Learning, SQL, Pandas, Scikit-learn, TensorFlow","We are looking for a Data Scientist with experience in Python, Machine Learning, SQL. Strong background in software development required.",2025-08-17,140000,235000
66,Frontend Developer,Company 23,"Mumbai, India","JavaScript, React, HTML, CSS, TypeScript, Git","We are looking for a Frontend Developer with experience in JavaScript, React, HTML. Strong background in software development required.",2025-10-26,119000,240000
67,Frontend Developer,Company 42,Remote (MENA),"JavaScript, React, HTML, CSS, TypeScript, Git","We are looking for a Frontend Developer with experience in JavaScript, React, HTML. Strong background in software development required.",2025-12-05,116000,203000
68,Frontend Developer,Company 21,"Berlin, Germany","JavaScript, React, HTML, CSS, TypeScript, Git","We are looking for a Frontend Developer with experience in JavaScript, React, HTML. Strong background in software development required.",2025-08-16,119000,180000
69,Backend Developer,Company 33,"Dubai, UAE","Python, Node.js, SQL, REST API, Docker, PostgreSQL","We are looking for a Backend Developer with experience in Python, Node.js, SQL. Strong background in software development required.",2025-09-23,107000,186000
70,Backend Developer,Company 23,"Tel Aviv, Israel","Python, Node.js, SQL, REST API, Docker, PostgreSQL","We are looking for a Backend Developer with experience in Python, Node.js, SQL. Strong background in software development required.",2025-09-06,102000,154000
71,Backend Developer,Company 28,"London, UK","Python, Node.js, SQL, REST API, Docker, PostgreSQL","We are looking for a Backend Developer with experience in Python, Node.js, SQL. Strong background in software development required.",2025-08-03,82000,203000
72,Data Scientist,Company 46,"London, UK","Python, Machine Learning, SQL, Pandas, Scikit-learn, TensorFlow","We are looking for a Data Scientist with experience in Python, Machine Learning, SQL. Strong background in software development required.",2025-11-04,132000,204000
73,Frontend Developer,Company 34,"Berlin, Germany","JavaScript, React, HTML, CSS, TypeScript, Git","We are looking for a Frontend Developer with experience in JavaScript, React, HTML. Strong background in software development required.",2025-07-26,106000,152000
74,Data Scientist,Company 18,"Tokyo, Japan","Python, Machine Learning, SQL, Pandas, Scikit-learn, TensorFlow","We are looking for a Data Scientist with experience in Python, Machine Learning, SQL. Strong background in software development required.",2025-09-12,96000,172000
75,ML Engineer,Company 33,Remote (MENA),"Python, Machine Learning, TensorFlow, PyTorch, SQL, AWS","We are looking for a ML Engineer with experience in Python, Machine Learning, TensorFlow. Strong background in software development required.",2025-12-23,113000,171000
76,ML Engineer,Company 38,"Dubai, UAE","Python, Machine Learning, TensorFlow, PyTorch, SQL, AWS","We are looking for a ML Engineer with experience in Python, Machine Learning, TensorFlow. Strong background in software development required.",2025-11-10,132000,170000
77,Software Engineer,Company 10,"Boston, MA","Python, JavaScript, React, SQL, Git, AWS","We are looking for a Software Engineer with experience in Python, JavaScript, React. Strong background in software development required.",2025-08-27,88000,239000
78,Software Engineer,Company 19,Singapore,"Python, JavaScript, React, SQL, Git, AWS","We are looking for a Software Engineer with experience in Python, JavaScript, React. Strong background in software development required.",2025-11-08,145000,238000
79,Backend Developer,Company 28,"Delhi, India","Python, Node.js, SQL, REST API, Docker, PostgreSQL","We are looking for a Backend Developer with experience in Python, Node.js, SQL. Strong background in software development required.",2025-09-09,92000,187000
80,Data Scientist,Company 1,Singapore,"Python, Machine Learning, SQL, Pandas, Scikit-learn, TensorFlow","We are looking for a Data Scientist with experience in Python, Machine Learning, SQL. Strong background in software development required.",2025-12-05,150000,159000
81,ML Engineer,Company 2,"Hyderabad, India","Python, Machine Learning, TensorFlow, PyTorch, SQL, AWS","We are looking for a ML Engineer with experience in Python, Machine Learning, TensorFlow. Strong background in software development required.",2025-12-17,100000,163000
82,Software Engineer,Company 13,"Tokyo, Japan","Python, JavaScript, React, SQL, Git, AWS","We are looking for a Software Engineer with experience in Python, JavaScript, React. Strong background in software development required.",2025-08-21,116000,192000
83,Frontend Developer,Company 17,"Sydney, Australia","JavaScript, React, HTML, CSS, TypeScript, Git","We are looking for a Frontend Developer with experience in JavaScript, React, HTML. Strong background in software development required.",2026-01-11,89000,166000
84,DevOps Engineer,Company 26,"Mumbai, India","Docker, Kubernetes, AWS, CI/CD, Linux, Terraform","We are looking for a DevOps Engineer with experience in Docker, Kubernetes, AWS. Strong background in software development required.",2025-11-04,141000,154000
85,DevOps Engineer,Company 27,"Bangalore, India","Docker, Kubernetes, AWS, CI/CD, Linux, Terraform","We are looking for a DevOps Engineer with experience in Docker, Kubernetes, AWS. Strong background in software development required.",2025-09-28,116000,187000
86,Software Engineer,Company 22,"Chicago, IL","Python, JavaScript, React, SQL, Git, AWS","We are looking for a Software Engineer with experience in Python, JavaScript, React. Strong background in software development required.",2025-10-04,100000,154000
87,DevOps Engineer,Company 31,"Austin, TX","Docker, Kubernetes, AWS, CI/CD, Linux, Terraform","We are looking for a DevOps Engineer with experience in Docker, Kubernetes, AWS. Strong background in software development required.",2025-12-25,142000,178000
88,DevOps Engineer,Company 10,"Berlin, Germany","Docker, Kubernetes, AWS, CI/CD, Linux, Terraform","We are looking for a DevOps Engineer with experience in Docker, Kubernetes, AWS. Strong background in software development required.",2025-12-04,121000,192000
89,DevOps Engineer,Company 21,Remote (MENA),"Docker, Kubernetes, AWS, CI/CD, Linux, Terraform","We are looking for a DevOps Engineer with experience in Docker, Kubernetes, AWS. Strong background in software development required.",2025-12-09,135000,162000
90,Frontend Developer,Company 20,"Paris, France","JavaScript, React, HTML, CSS, TypeScript, Git","We are looking for a Frontend Developer with experience in JavaScript, React, HTML. Strong background in software development required.",2025-11-07,93000,205000
91,ML Engineer,Company 5,"Dubai, UAE","Python, Machine Learning, TensorFlow, PyTorch, SQL, AWS","We are looking for a ML Engineer with experience in Python, Machine Learning, TensorFlow. Strong background in software development required.",2025-08-25,104000,152000
92,Frontend Developer,Company 37,"Boston, MA","JavaScript, React, HTML, CSS, TypeScript, Git","We are looking for a Frontend Developer with experience in JavaScript, React, HTML. Strong background in software development required.",2026-01-01,83000,195000
